Rounded_Latitude,Rounded_Longitude,Month_Segment,Count
0.0,0.0,Jan-Feb,2
40.4993,-74.2397,Mar-Apr,1
40.4994,-74.2422,Mar-Apr,1
40.5002,-74.2448,May-Jun,1
40.5004,-74.2439,May-Jun,1
40.5007,-74.2422,May-Jun,2
40.5011,-74.2403,Mar-Apr,1
40.5013,-74.2394,Jan-Feb,1
40.5015,-74.2385,Mar-Apr,1
40.5018,-74.2343,Jul-Aug,1
40.5023,-74.2475,Jan-Feb,1
40.5025,-74.2466,May-Jun,1
40.5028,-74.2379,May-Jun,1
40.5029,-74.2448,Mar-Apr,2
40.5029,-74.2448,May-Jun,1
40.503,-74.2439,Mar-Apr,1
40.5032,-74.243,Jan-Feb,2
40.5032,-74.243,May-Jun,1
40.5034,-74.2421,May-Jun,2
40.5035,-74.2323,May-Jun,1
40.5036,-74.2412,May-Jun,1
40.5042,-74.2509,Jan-Feb,1
40.5042,-74.2509,Sep-Oct,1
40.5043,-74.2518,Mar-Apr,1
40.5044,-74.2501,May-Jun,1
40.5045,-74.2435,Jan-Feb,1
40.5048,-74.2416,Jan-Feb,1
40.5052,-74.2465,Mar-Apr,1
40.5052,-74.2398,May-Jun,1
40.5055,-74.2532,May-Jun,1
40.5055,-74.2382,Jan-Feb,2
40.5059,-74.243,Mar-Apr,1
40.5059,-74.2365,May-Jun,1
40.5061,-74.2492,May-Jun,1
40.5061,-74.2421,Jan-Feb,2
40.5061,-74.2421,Mar-Apr,1
40.5061,-74.2421,May-Jun,1
40.5065,-74.2507,Mar-Apr,1
40.5067,-74.2499,May-Jun,1
40.5071,-74.2387,Jan-Feb,1
40.5071,-74.2387,May-Jun,1
40.5071,-74.2342,May-Jun,1
40.5072,-74.2352,Jan-Feb,1
40.5072,-74.2352,May-Jun,1
40.5073,-74.2316,Jan-Feb,1
40.5077,-74.2238,Jan-Feb,1
40.5078,-74.2301,Jan-Feb,2
40.5078,-74.2301,May-Jun,1
40.5079,-74.2465,Mar-Apr,1
40.5079,-74.2465,May-Jun,1
40.508,-74.2446,Mar-Apr,2
40.508,-74.2446,May-Jun,2
40.508,-74.2446,Nov-Dec,1
40.508,-74.2335,Mar-Apr,1
40.508,-74.2335,May-Jun,4
40.508,-74.2289,Mar-Apr,1
40.5081,-74.2456,May-Jun,5
40.5081,-74.2302,Jan-Feb,1
40.5083,-74.2546,Mar-Apr,1
40.5083,-74.2434,Jan-Feb,1
40.5083,-74.2434,May-Jun,1
40.5085,-74.2301,Jan-Feb,1
40.5085,-74.2247,Jan-Feb,2
40.5085,-74.2247,May-Jun,1
40.5086,-74.2392,May-Jun,1
40.5087,-74.2295,May-Jun,1
40.5088,-74.2328,Jul-Aug,1
40.5088,-74.2227,Mar-Apr,2
40.5088,-74.2227,May-Jun,1
40.5089,-74.2473,Jan-Feb,1
40.5089,-74.2338,Mar-Apr,2
40.5091,-74.2441,May-Jun,1
40.5092,-74.2354,May-Jun,1
40.5094,-74.2472,Jan-Feb,1
40.5094,-74.2472,Mar-Apr,1
40.5094,-74.2457,Jan-Feb,1
40.5096,-74.2436,May-Jun,1
40.5098,-74.2444,Jan-Feb,2
40.5099,-74.2482,Nov-Dec,1
40.5101,-74.2494,Mar-Apr,1
40.5101,-74.2479,May-Jun,2
40.5101,-74.2405,Jul-Aug,1
40.5101,-74.2309,May-Jun,2
40.5102,-74.2431,Jan-Feb,1
40.5104,-74.2394,Jan-Feb,1
40.5106,-74.2527,Jan-Feb,1
40.5107,-74.2484,Jan-Feb,3
40.5107,-74.2422,Jan-Feb,1
40.5107,-74.2422,Mar-Apr,1
40.5107,-74.2422,May-Jun,1
40.5109,-74.2336,Jan-Feb,1
40.5112,-74.2413,Jan-Feb,1
40.5112,-74.2413,May-Jun,1
40.5112,-74.2413,Nov-Dec,1
40.5113,-74.2346,May-Jun,2
40.5114,-74.2249,Mar-Apr,1
40.5116,-74.2493,Jan-Feb,5
40.5116,-74.2493,May-Jun,6
40.5117,-74.2429,May-Jun,1
40.5117,-74.2429,Nov-Dec,1
40.5117,-74.2403,Mar-Apr,1
40.5117,-74.2322,May-Jun,1
40.5117,-74.2104,Mar-Apr,1
40.5117,-74.2104,May-Jun,1
40.5118,-74.2525,May-Jun,1
40.5118,-74.2513,May-Jun,1
40.5118,-74.24,May-Jun,1
40.5118,-74.2308,May-Jun,1
40.512,-74.2498,Jan-Feb,12
40.512,-74.2498,Mar-Apr,6
40.512,-74.2498,May-Jun,12
40.512,-74.2498,Nov-Dec,1
40.5121,-74.2364,May-Jun,1
40.5122,-74.2393,Mar-Apr,1
40.5126,-74.2495,Jan-Feb,1
40.5127,-74.2504,Jan-Feb,1
40.5127,-74.2418,May-Jun,1
40.5128,-74.2371,Mar-Apr,1
40.5129,-74.2332,Mar-Apr,1
40.5133,-74.2493,May-Jun,1
40.5133,-74.2481,May-Jun,1
40.5133,-74.2003,Jan-Feb,1
40.5133,-74.1957,May-Jun,1
40.5135,-74.2503,Jan-Feb,2
40.5136,-74.24,Jan-Feb,1
40.5137,-74.2448,Jan-Feb,1
40.5137,-74.2422,Jan-Feb,1
40.5138,-74.2472,Jan-Feb,1
40.5138,-74.2011,May-Jun,1
40.514,-74.2321,Mar-Apr,1
40.514,-74.2321,Sep-Oct,1
40.514,-74.2022,Jan-Feb,1
40.5141,-74.2432,Mar-Apr,2
40.5142,-74.1958,Mar-Apr,1
40.5144,-74.2356,Jan-Feb,1
40.5144,-74.2062,Mar-Apr,1
40.5145,-74.2461,Mar-Apr,1
40.5146,-74.2374,Mar-Apr,1
40.5147,-74.2457,Jan-Feb,1
40.5148,-74.2485,Jan-Feb,3
40.5148,-74.2485,May-Jun,1
40.5149,-74.2454,May-Jun,1
40.5149,-74.2427,Mar-Apr,1
40.5149,-74.2427,May-Jun,1
40.5152,-74.2026,Jan-Feb,2
40.5152,-74.2026,May-Jun,1
40.5157,-74.2384,Mar-Apr,1
40.5157,-74.2337,Jan-Feb,3
40.5157,-74.2337,Mar-Apr,3
40.5158,-74.2435,May-Jun,1
40.5158,-74.2397,Jan-Feb,1
40.5158,-74.2397,Mar-Apr,1
40.5159,-74.1968,May-Jun,1
40.5162,-74.1978,Jan-Feb,1
40.5163,-74.2421,Sep-Oct,1
40.5163,-74.2328,Jan-Feb,4
40.5163,-74.2328,Mar-Apr,1
40.5163,-74.2328,May-Jun,1
40.5165,-74.2404,Jan-Feb,2
40.5166,-74.2326,Jan-Feb,3
40.5166,-74.2326,Nov-Dec,1
40.5166,-74.2028,May-Jun,1
40.5166,-74.1969,Jan-Feb,3
40.5166,-74.1969,Mar-Apr,3
40.5166,-74.1969,May-Jun,2
40.5168,-74.2422,Mar-Apr,2
40.5169,-74.2396,Nov-Dec,1
40.5169,-74.2313,Mar-Apr,1
40.5169,-74.1969,May-Jun,1
40.517,-74.2123,Jan-Feb,1
40.5172,-74.2388,May-Jun,1
40.5172,-74.2319,Jan-Feb,1
40.5173,-74.2407,Mar-Apr,1
40.5178,-74.1944,May-Jun,1
40.518,-74.2126,Mar-Apr,1
40.5185,-74.2346,Jan-Feb,2
40.5185,-74.2346,Mar-Apr,6
40.5185,-74.2346,May-Jun,1
40.5185,-74.2254,May-Jun,1
40.5186,-74.2306,Jan-Feb,1
40.5186,-74.2306,Mar-Apr,1
40.5186,-74.2306,May-Jun,1
40.5188,-74.2064,Mar-Apr,1
40.519,-74.2055,Mar-Apr,1
40.519,-74.2055,May-Jun,1
40.5191,-74.1971,Jan-Feb,2
40.5191,-74.1971,May-Jun,1
40.5192,-74.2006,Jan-Feb,1
40.5192,-74.2006,Mar-Apr,4
40.5192,-74.2006,May-Jun,4
40.5193,-74.2044,Jul-Aug,1
40.5195,-74.1877,May-Jun,1
40.5196,-74.2201,Mar-Apr,1
40.5196,-74.1985,Mar-Apr,1
40.5197,-74.2287,Jan-Feb,1
40.5197,-74.2287,Mar-Apr,1
40.5198,-74.2131,May-Jun,1
40.5198,-74.2091,Mar-Apr,1
40.5198,-74.188,May-Jun,1
40.52,-74.1952,May-Jun,1
40.5203,-74.2188,May-Jun,1
40.5204,-74.2102,Jan-Feb,1
40.5204,-74.197,Nov-Dec,1
40.5208,-74.207,Jan-Feb,1
40.5208,-74.207,Mar-Apr,1
40.5209,-74.2351,Jan-Feb,2
40.5209,-74.2351,May-Jun,1
40.5209,-74.2175,Mar-Apr,1
40.521,-74.216,Jan-Feb,1
40.5212,-74.2373,Jan-Feb,1
40.5212,-74.2327,May-Jun,1
40.5212,-74.1768,May-Jun,1
40.5216,-74.217,Jan-Feb,3
40.5216,-74.217,Mar-Apr,4
40.5216,-74.217,May-Jun,3
40.5216,-74.1844,Jan-Feb,1
40.5216,-74.1844,Mar-Apr,1
40.5217,-74.2116,Mar-Apr,1
40.5218,-74.2146,May-Jun,1
40.5218,-74.2122,May-Jun,1
40.522,-74.2137,Jan-Feb,1
40.5221,-74.2237,Jan-Feb,1
40.5221,-74.2221,Mar-Apr,2
40.5224,-74.2299,Mar-Apr,3
40.5224,-74.2299,May-Jun,1
40.5224,-74.2167,Mar-Apr,1
40.5224,-74.2143,Jan-Feb,2
40.5224,-74.185,Mar-Apr,2
40.5226,-74.235,Jan-Feb,3
40.5226,-74.235,Mar-Apr,2
40.5226,-74.235,May-Jun,5
40.5226,-74.19,Jan-Feb,1
40.5229,-74.2202,May-Jun,1
40.5229,-74.2139,Mar-Apr,1
40.5229,-74.2065,May-Jun,1
40.523,-74.218,Jan-Feb,1
40.5231,-74.1986,Mar-Apr,2
40.5232,-74.2392,Jan-Feb,3
40.5232,-74.2392,Mar-Apr,1
40.5232,-74.2392,May-Jun,1
40.5232,-74.1855,Mar-Apr,2
40.5232,-74.1855,Nov-Dec,1
40.5233,-74.2145,Mar-Apr,1
40.5234,-74.214,Mar-Apr,1
40.5235,-74.216,May-Jun,1
40.5236,-74.2206,Jan-Feb,1
40.5237,-74.2192,Mar-Apr,1
40.5237,-74.2192,May-Jun,2
40.5238,-74.2179,May-Jun,1
40.5238,-74.1991,Mar-Apr,1
40.5238,-74.1867,Jan-Feb,2
40.5239,-74.2165,Jan-Feb,1
40.5239,-74.2017,Jan-Feb,1
40.524,-74.2149,May-Jun,1
40.524,-74.1861,Jan-Feb,1
40.524,-74.1861,Mar-Apr,1
40.5241,-74.2296,May-Jun,1
40.5241,-74.2138,Jan-Feb,1
40.5241,-74.2138,May-Jun,1
40.5242,-74.2348,Jan-Feb,1
40.5242,-74.2348,Mar-Apr,2
40.5243,-74.2173,Mar-Apr,1
40.5243,-74.2123,Jan-Feb,1
40.5246,-74.2304,Jan-Feb,1
40.5246,-74.2304,Mar-Apr,1
40.5246,-74.2005,May-Jun,1
40.5247,-74.2334,Jan-Feb,1
40.5247,-74.2103,Jan-Feb,1
40.5247,-74.2031,Jan-Feb,1
40.5247,-74.1896,Jan-Feb,1
40.525,-74.2393,Jan-Feb,1
40.525,-74.2198,May-Jun,2
40.525,-74.2054,Mar-Apr,1
40.5252,-74.2079,Jan-Feb,1
40.5252,-74.1746,Jan-Feb,1
40.5252,-74.1746,Mar-Apr,1
40.5256,-74.237,Mar-Apr,1
40.5256,-74.237,May-Jun,1
40.5257,-74.2304,Jan-Feb,1
40.5257,-74.204,Mar-Apr,1
40.5258,-74.2074,May-Jun,1
40.5258,-74.2012,Mar-Apr,1
40.526,-74.1662,Jan-Feb,1
40.5261,-74.1803,Mar-Apr,1
40.5262,-74.2019,Mar-Apr,1
40.5263,-74.2015,Mar-Apr,1
40.5264,-74.2053,Jan-Feb,1
40.5265,-74.2013,Jan-Feb,1
40.5265,-74.2013,Mar-Apr,1
40.5267,-74.1784,Jan-Feb,1
40.5267,-74.1748,Jan-Feb,1
40.5267,-74.1748,May-Jun,1
40.5268,-74.1776,Jan-Feb,1
40.527,-74.216,May-Jun,1
40.5274,-74.2005,Jan-Feb,1
40.5276,-74.2393,May-Jun,1
40.5276,-74.213,May-Jun,1
40.5276,-74.2016,Mar-Apr,1
40.5276,-74.1917,Jan-Feb,2
40.5276,-74.1917,Mar-Apr,4
40.5276,-74.1917,May-Jun,3
40.5276,-74.1737,Sep-Oct,1
40.5277,-74.2302,Jan-Feb,3
40.5277,-74.2302,Mar-Apr,6
40.5277,-74.2302,May-Jun,3
40.5278,-74.2324,Jan-Feb,17
40.5278,-74.2324,Mar-Apr,24
40.5278,-74.2324,May-Jun,10
40.5278,-74.1888,Jan-Feb,1
40.5278,-74.1636,Jan-Feb,1
40.5279,-74.2272,Jan-Feb,2
40.5279,-74.2272,May-Jun,3
40.528,-74.2018,Jan-Feb,1
40.5281,-74.2371,Jan-Feb,7
40.5281,-74.2371,Mar-Apr,8
40.5281,-74.2371,May-Jun,6
40.5281,-74.2371,Nov-Dec,2
40.5281,-74.1645,May-Jun,1
40.5282,-74.2394,May-Jun,2
40.5283,-74.2167,May-Jun,1
40.5283,-74.2008,May-Jun,1
40.5283,-74.1922,Jan-Feb,1
40.5283,-74.164,Jan-Feb,1
40.5284,-74.2408,May-Jun,1
40.5284,-74.1663,Mar-Apr,1
40.5285,-74.1893,Mar-Apr,1
40.5285,-74.1597,Jan-Feb,1
40.5286,-74.2069,May-Jun,1
40.5287,-74.158,May-Jun,1
40.5288,-74.1655,May-Jun,2
40.5289,-74.2012,Mar-Apr,1
40.529,-74.2396,May-Jun,1
40.529,-74.2394,May-Jun,1
40.529,-74.1978,Jan-Feb,2
40.529,-74.1622,Jan-Feb,1
40.5291,-74.1647,May-Jun,1
40.5291,-74.1587,Nov-Dec,1
40.5292,-74.1974,Mar-Apr,3
40.5292,-74.1603,Mar-Apr,1
